Review,Rating
"One of famous tourist attraction in the capital of Sri Lanka. Calm and quiet place. Shrine has very nice colorful murals and statues. This temple has museum also. You can see smallest Buddha statue, old cars and lots of antiques and statues. Very good place visit with children.",5
One of a kind temple that exhibits some old fashion cars which are classic in nature.,5
"A must see temple in Colombo and in Sri Lanka, in general. Aside from the entrance fee for foreigners, the temple offers such a peaceful atmosphere and energy.  The temple and surrounding areas are occupied by multiple smaller and larger …",5
Wonderful and beautiful temple. You can see lots of donated stuff from people in this temple as well. It looks like Museum kind temple. If you purchase a ticket from the floating temple you can visit this temple for free! Gotta spent more time here and the best time to visit I would say is during the night where the lights are up. 😍,5
"One of best temples you can find with in the Colombo City. This place is a museum on it's own and has so much heritage and collections of various things religious and otherwise.  Temple conducts early Buddhist pageant called ""Nawam …",5
Calm and quiet place. colorful murals and statues. Must visit gangaramaya temple colombo,5
Gangaramaya Temple. Most famous temple in Colombo and Island wide too. This temple located in middle of town area. There is many Lord Buddha's status in various type of Buddhist culture. Temple consists with two part and one of it located …,4
One of the best temple in Colombo area. Highly recommended.,5
It's a definite must visit location for foreigners.. one of the best and we'll maintained attraction in heart of Colombo.. Even though Sri lankan Buddhist may feel as it's not a topical Buddhist temple in SL. It has a large variety of …,5
Very peaceful temple. I should inform all foreigners to be respectful here because it has a significant religious importance to Buddhist.,5
Mind relaxing and very calm place in the heart of colombo. ❤️,5
"An amazing collection of relics, idols and all things related to Buddhism.. The whole atmosphere is serene and it would be great to take photographs without disturbing the devotees.. Buddha’s hair and the world’s smallest Buddha statue are added attractions",5
"Buddhist temple with loads of statues, old cars and idols. One of the famous tourist attraction in Colombo.  It is one of the oldest temple in Colombo. The atmosphere here is very calm and relaxing. You can enjoy your noon here in a very peaceful way.",5
"This is the best place to visit for calm  down of your mind. The Gangaramaya Temple is one of the most famous, beautiful and vibrant Buddhist temple in Colombo, being a mix of modern architecture. Many locals and foreigners are visited to …",5
"The amount of wealth this temple has hoarded is approaching par with the Vatican in Rome! Ha, well that's what it feels like. There are piles of money, gold, jewels, gems, statues, ivory and crafted objects everywhere. The treasures there …",3
A must go place for a Buddhist if you are closer to Beire Lake. A calm place amidst the busy city. Parking available,5
It's the most famous and popular Buddhist Temple of Colombo. It's not just a temple though. Rather it's a tourism attraction spot as well. This is because they charge tourists 300 rupee per person as entrance fee. There aren't a lot of open …,3
We can Worship there,5
Great historical site with very well maintained historic relics,5
Nice place visit if you explore in Colombo. But the place is very crowded on poya days.,4
A very unique temple. It was like temple and an old house/museum with alot of antiques items.  A variety of collection of a family. The surrounding of the main tree was very peaceful.,3
"Must visit for a tourist if you love history, architecture, art in general. Beautiful temple with a lot to offer. It also has a museum inside. Huge premises. It can take you a couple of hours if you want to go through each and every part. …",5
"This temple is a calm and very beautiful place  This place was built by Ven.  Hikkaduwe Sumangala Thero during the imperialist rule  In recent times, under the leadership of Galaboda Gnanasara Thero (Podi Thero), a highly developed  The …",5
"One of oldest temple in colombo. there are so many old things and statues can see here. Best thing is ""Gangarama Perahera"". Must thing to see in Colombo",5
One of its kind. This temple is amazing so peaceful. Full of art from different countries.,5
Its a nice place calm surrounding but sadly it gives thai vibe more than typical srilankan temple,3
Very beautiful temple with free-sprited environment.,5
Ambience- very serene- the hymns have very soothing effect . But beware of your local guides - if you are international travel the entry fee you may pay is way higher than others . We were asked to pay 400 srilankan rupees by the guide …,5
"A beautiful Buddhist temple in Colombo with colourful, peaceful and relaxing atmosphere. A lot of East Asian Buddhist statues and pictures can be seen their. Even in a crazy busy day in Colombo you can peacefully worship and take a break …",5
"Wonderful place, plenty of antiques and wonderful curiosities. Do remember to be respectful. Sometimes, one might be tempted to think that the curator was more of a 'hoarder'. There's plenty to leave you both amazed, intrigued and baffled. …",5
"Elephant Visits the Temple! I visited the temple twice, once in the morning on 16th and again in the evening on 18th March 2020.  Visitors need to remove their shoes at the entrance to the temple.  Being a place of worship, there is no …",5
"Gangaramaya Temple is not only one of the most beautiful but also one of the most iconic Buddhist temples in Sri Lanka. It is more than a century since this temple was constructed; however even today, the temple doesn’t stop to surprise …",5
"Great place to visit in Colombo, easy to reach, safe to visit",5
"Place of worship, must visit if you are in Colombo. They have an attached museum as well, which has lot of items on display with historic value. There is another temple nearby, do visit that temple as well, it is right next to the Biera …",5
"This is a must visit place. It has got beautiful statue of Buddha. There is a huge museum with all kinds of antiques ranging from cars, guns, coins, gold, spectacles etc. This temple is located in middle of the city. Parking here is limited. Recommend to visit this place",5
Important place when visiting Colombo. Do not get confused with the extension they have in the lake as the temple is on the side road of city center. It would be great to take photographs without disturbing the devotees. Buddha’s hair and …,5
"Interesting place. A monks and guardians are very friendly and helpful. They allowed me to take a picture inside the building. I've seen many odd stuffs such as an old pictures, souvenirs and small art moments in the other rooms but no time take a picture. I've also found that this temple is keeping a Buddha's hair.",3
"Superb place for relaxing and spending time with friends & family! The stone  carvings and sculptures are so beautiful! There is so much of greenery that u will end up staying in the square for many hours! If you are visiting Colombo, please don't forget to visit this place!",5
Well maintained place and respectable crowd. Enjoyed my jogging and the quiet atmosphere. Highly recommend for a family visit.,5
Very nice and historic place. Evening work along pathways are more relaxing.,5
"It's an amazing place for some exercises. You can walk, run, bike, skate, etc. I believe there are some crossfit equipment too. Or you can just simply hangout with your friends for a small chit chat under the tress. However, early morning and evenings get busy, so I recommend nights to chill out. Enjoy 🎉",4
"The  best to have morning and evening walk.  Good atmosphere, best crowd of colombo can be found here.  Also equipped with open gym. Very well maintained and one of my favourite place in Colombo.",5
This is a historical place in Colombo. The architectural design is incredible and the location is also very beautiful. You won’t allow to make video-graphs in this location. A place you must visit if you are traveling in Colombo,5
It's of historical importance and it's made of beautifully carved pillars. It's a beautiful sight at night and in the evening you can visit with your children and let them play there as it's spacious.,5
"One of the best place in Colombo to chill around with friends or family. Track is nice, I usually do my long runs around here. There are restaurants and fast foods. I highly recommend people to visit here. Ambience is better compared to other parks.",5
Very beautiful place. Soo green and nice place for a walk and relaxation. A must visit place for those who love nature.,4
Weekend workout done right! Family-friendly space for winding down and relaxing. Ample parking space available. Rent-a-bike facilities available on site. Look forward to the walking track and intertwining with nature for a jog around Colombo's National treasures!,5
"Very beautiful and memorable place.. Independence Square remains one of the nicest places to relax in Colombo, especially in the evenings. In addition to the memorial hall itself,",5
There was something new. Not been in awhile so yes there was a little shop looked nice at the end of the walk way. Will pay a visit to see what's in store. Also night time herbal drink which is also a great idea after a long walk.,4
"Early morning at about 6am, it's one of the best places to do all types of exercises for body and mind. Also has a mini gym which is enough for your body with some stretching and running.",5
Nice place to come and chill. You can go for a calming walk around the track and cycle around the circuit just here. Nice place to unwind. You can also do simple workouts here and take some cool pics!,5
Cannot enter. The security guards out there. When the governmet changes public access is being prohibited. So we can walk around the park and chill.,3
"The best spot in Colombo for a walk,  jog or even a work out",4
"Historical, central, picturesque, artistic, clean and safe.  Independence Square is a must stop for; tourists, travelers, friends, exercising and romantic walks",4
"Sri Lanka (UK: /sri ˈlæŋkə, ʃriː -/, US: /- ˈlɑːŋkə/ (About this soundlisten); Sinhala: ශ්‍රී ලංකාව, romanized: Śrī Laṅkā; Tamil: இலங்கை, romanized: Ilaṅkai), formerly known as Ceylon, and officially the Democratic Socialist Republic of Sri …",5
"Independence Square is known as Independence memorial hall. Which is at Cinnamon Gardens, Colombo 07. This was built for commemorate the Independence of Srilanka from the British rule. Currently it is surrounded by a beautiful jogging area, Arced building, Radio Ceylon and most of leading cricket clubs in Srilanka.",5
Great place spend a quiet evening with the family. At night looks wonderful this season.,5
Independence Square has been constructed in commemoration of gaining independence from the British rule in Sri Lanka. There is a small museum underneath the memorial hall which is unknown to many of the locals. Independence Square is a …,5
"Decent place to spend an evening, exercise and jog. There is a museum in the independence square which houses many information regarding the independence struggle. The statue of the great D.S Senanayake is also here.",5
"Lovely place to spend with the family, as long as it is not crowded.",5
This is the site where Sri Lanka ceremoniously got Independence from the British. The square consists of Independence Hall at its centre and open space around it. Nearby is the Arcade Mall. The square gets quite busy in the mornings and …,5
Good decent place to walk at any time of the day or night.,5
Nice Park. Good place to walk/ run. Clean...,5
Love this place to spend some quality time with family 👪❤💕💜💖💙,5
Great place to hang out with frnds and have a small branch with them,5
Best place to spend some time yourselves.,5
One of the best place in srilanka,5
Beautiful place 😍💕❤,5
"It was very nice,  peaceful. I went for jogging and it was great",5
Love the place alot as you can do nice walks around the walking track. Also the place is so beautiful and quiet peaceful area.,5
"Soothing place, ideal to simply chill out, do a stroll, or burn some much needed calories, along with a great many more who thinks so!!! 🤩",5
Traditional and historical place in Sri Lanka. Represent the National freedom and everything related to it.,5
Should consider about the 🐕 🐕 🐕 running here and there inside the square...,4
This is the place you can enjoy your freedom. Even in the evenings you can have a good leisure time in this area.,5
Suitable place for workout and free gym tools also there.,5
Best place to go on a walk.,5
"Great place to do runs and jogs, there is not much covered area incase it's raining, but there are multiple food and beverage options near by. If you like to run in the shade there is always shade around the park and it's fairly well …",5
Place of National significance. Area is populated by people who are jogging along the streets. Place is well maintained. You can have a nice walk along shady pathways.,5
Awesome place to visit with much historical and architectural value,5
Very calm place and peaceful. You have to maintain the grass areas beter and make sure people dont walk on it.and maintain the sand track beter,5
"Beautiful. On 17th of June 2019, I found there were gathering at Independence Square and local were in beautiful traditional dresses. Perhaps it was occasion of Buddh Purnima and lovely congregation.",5
Independence Memorial Hall ( නිදහස් චතුරශ්‍රය ) (also known as Independence Commemoration Hall) is a national monument in Sri Lanka built for commemoration of the independence of Sri Lanka from the British rule with the restoration of full …,5
Good place for jogging and kids to ride scooters and skate boards,5
Independence Memorial Hall was built to commemorate the independence of Sri Lanka from the British rule in 1948. Made to the request of Prime Minster D.S. Senanayaka who commissioned the building. It is said that he wanted a monument “worthy of this country’s long and impressive history”,5
"Great running path, now with dedicated cycles lanes around that area on Sundays. Lit up well at night.",5
"Located at  Cinnamon Garden just head of the monument, is the statue of the first prime minister of the country Rt. Hon. Don Stephen Senanayake ""The Father of the Nation"". Most of the annual National Independence Day celebrations have been …",4
Good place. some decent shops there..But you need permission to take photos (by DSLR camera),5
Located in Kandy. Lord Buddha's tooth relic is kept in here. This is belongs to Kandy era in Sri Lanka. We can see paintings and archaeology of ancient Sri Lanka in here.Beautiful and sacred place. Buddhist devotees come to  worship tooth …,5
The Sacred Temple of Tooth is the most iconic place in Sri Lanka. This brings the sanctity to Kandy. It will take around 3 hours by train from Colombo to visit here but it is well worth the journey with the beautiful scenaries. The walk around the nearby lake is pretty nice too. :),5
"This place was in the centre of my attraction as this the place of lord Buddah. I heard that, relic tooth of Buddah was kept there and this the most important place of worship. When I went there, I saw a lot of pious people was there for …",5
"Sri Dalada Maligawa or the Temple of the Sacred Tooth Relic is a Buddhist temple in the city of Kandy, Sri Lanka. It is located in the royal palace complex of the former Kingdom of Kandy, which houses the relic of the tooth of the Buddha. …",5
"commonly known as the ශ්‍රී දළදා මාළිගාව (Glorious Tooth Temple), is a Buddhist temple in Kandy, Sri Lanka. It is located in the royal palace complex of the former Kingdom of Kandy, which houses the relic of the tooth of the Buddha. Since …",5
"The temple of the sacred tooth relic is belongs to Kandy , Sri Lanka , Located in the north central province . Can be travelled easily by public or privet transport. It holds sacred tooth relic of Lord Buddha. Usually crowded by local and foreign tourists when it is open. It reccomend people to wear a suitable costume for a temple.",5
Unfortunately we are not allowed to take photographs but the images you saved in your mind is much more beautiful than that. It's a sacred place for each and every one of my country.,5
Probably the most important temple for Buddhist in the Sri Lanka. It is nicely designed and has beautiful interior.  Reserve at least one hour for the excursion.,5
"Must visit to Legacy of Sacred Tooth Relic Temple of Lord Buddha, kandy. Sri Lanka 🇱🇰  Peace | Love | Blessings.  Shot on iPhone",5
"A top sacred Buddhist religious icon and sign of kingship of Sri Lanka; Temple of the Sacred Tooth Relic is located in the glorious hill capital, Kandy. Ancient inscriptions stated that the Sacred Tooth Relic is a bodily remaining of Lord …",5
I visited this place in 2017. location is super. dance performance was nice.,5
Very nice and divine place. The magnetism and positivity of this place is life changing,4
One of the Buddhist temple in Kandy city. This is a nature place of the river side.,4
"Such a calm place.A place every human should go. There are many places to visit here. Several museums have been established here, including an international museum.Also its Spread over a beautiful area, this place has been declared a World Cultural Heritage Site.",5
These days no more crowded.very hard to find parking.no sign boards so difficult to find a path to the entrance,5
One of the most sacred temples in Buddhism. It has many holy relics and artifacts. Many religious activities are held and a great opportunity to observe Budhism closely. Has some amazing places in the temple for a calm evening. Its an …,4
One the most valuable and must visit treasures for a Buddhist.,5
"The Temple of the Sacred Tooth Relic is a Buddhist temple in the city of Kandy, Sri Lanka. It is located in the royal palace complex of the former Kingdom of Kandy, which houses the relic of the tooth of the Buddha. Since ancient times, the …",5
"An early start to observe the 5:30am (and least crowded) ceremony at the Temple of the Tooth.  The impressive temple complex houses the single most important relic in the Buddhist faith, the tooth of the Buddha, and devotees turn up in …",5
Calm and peaceful place . Every srilankan must visited that place and wanna see our heritage .,5
"Went to recently,very clean and tidy.. good supportive services.Hats off to the police,Army and all officers.",5
Love 🌎🌏🌍 #creativesociety #allatraunites #aliensoul28 #allatratv,5
"One of the best place to visit in Sri Lanka. Everytime you go there, it provides a fresh feeling and never feel enough... Highly recommended!!",5
Temple of the sacred tooth relic is the most blessed place in the world for Buddhist. My one of favourite place for get  mind relax.,5
"The Temple of the Sacred Tooth Relic is a world-renowned place of worship, where the left Canine tooth of Gautama Buddha is enshrined. The temple which is venerated by thousands of local & foreign devotees and tourists daily was named as a …",5
The most important temple for Buddhist in Sri Lanka.,4
"Well organized to face to Covid-19. But the devotees are reluctant to follow the instructions. 1 meter distance is never practical in here. However things going on smoothly. Heavy Police & Army presence which is good for everybody. However, witnessing the casket of tooth relic is worth for lifetime.",5
"Temple of the Sacred Tooth Relic[a]; commonly known as the ශ්‍රී දළදා මාළිගාව (Glorious Tooth Temple), is a Buddhist temple in Kandy, Sri Lanka. It is located in the royal palace complex of the former Kingdom of Kandy, which houses …",5
Great place. This is the place where loard Buddhas tooth relic located. Very sacred place to Buddhist,5
"got a elephant tooth from this place, matches my others perfectly",5
"commonly known as the ශ්‍රී දළදා මාළිගාව (Glorious Tooth Temple), is a Buddhist temple in Kandy, Sri Lanka. It is located in the royal palace complex of the former Kingdom of Kandy, which houses the relic of the tooth of the Buddha. Since …",5
"I think, this is the most peaceful place in the world",5
Visit temple around 6.30 pm and can see the Sacred tooth relic with your own eyes!,5
Temple of the Sacred Tooth Relic is one of the largest tooth temple in the kandy. The temple is the sacred place of Buddha. Locals and the guide informed us In the olden times there is a belief who ever holds the relic holds the governance …,5
"The sacred Temple of Tooth is a world renowned place of worship where the left canine tooth of the Lord Buddha is placed.  This holy place, which is venerated by local and foreign devotees every day, was named as a world heritage in 1988 by …",5
Probably the most important temple for Buddhist in the Sri Lanka. It is nicely designed and has beautiful interior.,5
This is the Most sacred place for all Budhdhist as the Lord Budhdhas tooth is held here. The buildings and the surrounfings are of heritahe natiure and has been in existence for over years. A must visit for any body visiting Kandy,5
Went to the Sacred temple on the Independence Day. There was fairly large crowd. But the police and the temple staff managed to control the social distancing. Sometimes there  are some official who spoil it by trying to form two lines. 😁 …,5
Temple of the Tooth is one of the most sacred temples worshipped by Buddhists. The sacred tooth relic of Lord Buddha is housed in this temple.,5
Great place with a lot of history.,5
"A visit to the Temple of the Sacred Tooth Relic is a must when you are in Kandy. The most revered site in Sri Lanka, it is locally known as the Sri Dalada Maligawa",5
It is the most important place for Buddhist.,5
One of most sacred places of budhist people. The owner of tooth relic is said to have the rightfulnes to  govern the country. When you go there you feel the vibe of the presence of great buddha there. It as an amazing feeling.,5
"I love coming here, its beautiful and peaceful and if you're Buddhist, a great place to pay respect. Be sure to wear white or very light solid colors and cover up (tops with long sleeves past shoulders and long bottoms past knees for …",5
Calm & peace full.....,5
The best place to feel spiritual healing..🙏❤️,5
Most Sacred place on the Planet Earth 🌏,5
A calming place. Better avoided on busy days.,5
Love it. Security forces protecting the place are very supportive doing a great job.,5
Buddhist our one of the most secrat places. Shoud be visited when ever possible. May you tripple gem bless!,5
Absolutely amazing view. Must see the sunrise and the view of sigiriya from pidurangala is just priceless !!!,5
A small hike⛰️ Don't miss early sun rise🌄 if you plan to go. Slippery rocks (can be managed). Aware of bees🤣 Good view point for Sigiriya  No proper parking facilities😭.,4
Pidurangala is an ancient Buddhist temple situated close to Sigiriya. Main attraction is the Pidurangala rock. Since we are entering through a Buddhist temple area shoulders & knees should be covered till you're passing the temple.,5
"Pidurangala is an ancient Buddhist temple situated close to Sigiriya. Though the temple is there, the main attraction is the Pidurangala rock, which could be climbed up using the trail that starts from the temple. There is ample parking …",5
Fairly easy climb. Totally worth it. Amazing view once you reach the top. Don't miss this climb if you are in and around Sigiriya.,5
"If you are going to Sigiriya, you should definitely go to Pidurangala. It is not difficult to climb. But the journey through the trees and rocks is beautiful.",5
Best view. Fantastic place to visit. Sigiri view is amazing. Pidurangala is awesome. Best time is place climb the top before sunrise. Then you can enjoy the real beauty.,5
It was a ancient temple where most sacred buddhist monks were stayed. Few pilgrimages are still there and those were built couple of centuries ago. It is a small hike and it has stunning view in the highest point of the rock. Very beautiful …,5
"30 minute hike up from the temple, which as of February 2021 charged 500 LKR for the privilege. Carry your shoes through, put them on on exit from the temple when the stairs up start. Great views from the top of the rock.",5
"This place is amazing, It is a 30 mins hike, some areas we had to climb rocks, it is not than hard but it is pretty fun, We enter thought a Buddhist temple area, so shoulders, knees should be covered,... We had a great evening walk up here …",5
Such a beautiful place. Calm environment . You have to go through a buddhist temple to climb the rock. Lovely environment,5
How to reach: Colombo > Dambulla > pidurangala  Mode of transport : private vehicle and public transport also available  All ages can climb but who has knee problems it will be difficult to climb steps. But all in all nearly  40 mins hike …,5
"The view from the top was breathtaking. You will have to pass through pidurangala rock cave temple. You wont find stairs after a certain distance. If you are not physically fit, its not going to be an easy climb. Slippers not recommended. can cover within 1.5 - 2 hrs. depends on how much time you wanna spend up there.",5
Nice place to have a hike... bit difficult in the middle... once u reach the top... feel and see the amazing experiences,5
Enjoy and keep safe out heritage for future 🙏,5
Most senoric place with 360 panoramic view,5
"It is worth to climb upto the point where the Buddha Statute is found in the caves. Beyond this point, there is no historical value to be found. Last steps are a nightmare to climb. once you reach the top of the rock, of course you can take many beautiful pictures with the Sigiriya on the side.",3
Little challenging hike to the top when you have a 5 year old kid but it's rewarding with an amazing view of the surrounding landscape and the Sigiriya rock fortress.,5
"Very nice! 500 LKR for ticket for foreigners. Along the way it’s very peaceful and quiet.You should climb from the temple at the bottom, about 15 minutes to climb. The view on the rock is super nice! Strong wind. Highly recommend!",5
